Q,A,label
고양이가 제일 좋아,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
강아지가 제일 좋아,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
아무래도 친구지 않을까?,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
아무래도 가족이지 않을까?,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
나는 나의 고양이 다이나를 위해서 살아가!,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
나는 내 강아지를 위해 살아,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
나는 고양이를 위해서 살아,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
나는 어디있지?,그야 어딜 가고 싶으냐에 따라 다르지?,0
또 길을 잃었어 어디로 가야해?,그야 어딜 가고 싶으냐에 따라 다르지?.,0
또 길을 잃어서 어디로 가야 해?,그야 어딜 가고 싶으냐에 따라 다르지?.,0
어디로 가야할까?,그야 어딜 가고 싶으냐에 따라 다르지?.,0
또 길을 잃었어 어디로 가야 해?,그야 어딜 가고 싶으냐에 따라 다르지?.,0
중요한거? ,너는 삶에서 뭘 가장 중요하게 생각하니?.,0
너는 삶에서 뭘 가장 중요하게 생각하니?,너는 삶에서 뭘 가장 중요하게 생각하니?.,0
토끼를 찾았어,너는 삶에서 뭘 가장 중요하게 생각하니?.,0
찾았어,너는 삶에서 뭘 가장 중요하게 생각하니?.,0
토끼를 봤어,너는 삶에서 뭘 가장 중요하게 생각하니?.,0
토끼 봤어,너는 삶에서 뭘 가장 중요하게 생각하니?.,0
찾았어,너는 삶에서 뭘 가장 중요하게 생각하니?.,0
하고 싶은게 없어,너는 삶에서 뭘 가장 중요하게 생각하니?.,0
응 토끼 찾았어,너는 삶에서 뭘 가장 중요하게 생각하니?.,0
응 찾았어,너는 삶에서 뭘 가장 중요하게 생각하니?.,0
길을 잃었어,너는 삶에서 뭘 가장 중요하게 생각하니?.,1
토끼 어딨어?,"방금 지나갔어, 너는 삶에서 뭘 가장 중요하게 생각하니?",0
토끼,"방금 지나갔어, 너는 삶에서 뭘 가장 중요하게 생각하니?",0
글쎄,좀 더 생각해봐.,0
음,좀 더 생각해봐.,0
글쎄,좀 더 생각해봐.,0
아니,좀 더 생각해봐.,0
…...,좀 더 생각해봐.,0
몰까?,좀 더 생각해봐.,0
뭘까?,좀 더 생각해봐.,0
뭐야,좀 더 생각해봐.,0
모야,좀 더 생각해봐.,0
뭐래,좀 더 생각해봐.,0
나는 나를 위해 살아,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
하고 싶은 것을 하고 싶는거,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
나는….글쎄,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
나는 어디에 있을까?,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
내가 가장 중요한것 같아,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
내가 가장 중요해,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
나인것 같아,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
난 나를 위해서 살아,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
난 나를 위해 살아,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
나를 가장 중요하게 생각해,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
내가 최고야,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
나를 위해 살아,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
나를 위해,"흠, 사실 답은 정해져 있지 않아, 길을 어디로 가도 존재해, 왼쪽으로 가도 네가 원하는 게 나올 거고, 오른쪽으로 가도 네가 원하는 게 나올 거야, 저기 모자쟁이를 찾아가 봐, 네가 찾고 있는 걸 답해줄 수도 있어, 아닐 수도 있지만.",0
